GOAL: Modellizzare la struttura di una tabella per memorizzare tutti i dati riguardanti delle auto usate messe in vendita da un concessionario																											
																											
Nome tabella: auto_usate																											
																											
ID	Marca	Modello	Carrozzeria	Alimentazione	Cilindrata	Cavalli	Chilometraggio	Categoria emissioni	Porte	Colore	Prezzo																
1	Alfa Romeo	Giulia	Berlina	Diesel	2144 cc	110 CV	8000 km	Euro 5	4	Grigio	34.000 Û																
2	Bmw	X3	Station Wagon	Benzina	2979 cc	225 CV	1259 km	Euro 5	5	Nero	49.000 Û																
3	Dacia	Duster	Station Wagon	GPL	1598 cc	74 CV	8700 km	Euro 4	5	Blu	11.999 Û																
4	Corvette	Roadster	Berlina	Benzina	3791 cc	112 CV	120000 km	Euro 3	2	Bianco	138.000 Û																
5	Mclaren	720s	Coup	Benzina	3994 cc	717 CV	9500 km	Euro 5	2	Bianco/Bronzo	220.000 Û																
6	Audi	Q8	SUV/Fuoristrada	Elettrica / Diesel	2967 cc	286 CV	5000 km	Euro 6	5	Bianco	96.700 Û																
7	Jeep	Cherokee	SUV/Fuoristrada	Diesel	1956 cc	170 CV	81800 km	Euro 5	5	Grigio	24.700 Û																
8	Porsche	911 Turbo Coup	Coup	Benzina	3600 cc	480 CV	51000 km	Euro 4	2	Grigio	75.000 Û																
9	Peugeot	Ypsilon	Berlina	GPL	1360 cc	82 CV	149000 km	Euro 2	3	Azzurro	2.450 Û																
10	Toyota	Supra	Coup	Benzina	2998 cc	340 CV	2000 km	Euro 5	2	Bianco	48.500 Û																
																											
																											
ID -->	Di default : Unique e NOTNULL		Auto_increment																								
Marca -->	varchar(40)		NOTNULL																								
Modello -->	varchar(60)		NOTNULL																								
Carrozzeria -->	varchar(40)		NULL																								
Alimentazione -->	varchar(40)		NOTNULL																								
Cilindrata -->	varchar(10)		NOTNULL																								
Cavalli -->	varchar(10)		NOTNULL																								
Chilometraggio -->	varchar(12)		NOTNULL																								
Categoria emissioni -->	varchar()		NULL																								
Porte -->	Tinyint		NULL																								
Colore -->	varchar(30)		NULL																								
 Prezzo -->	int  o  decimal(9,2)		NOTNULL																								
